T,rho_B,mu_B
100.0,3.0,345.6415812109624
100.0,2.99,345.30490690723985
100.0,2.98,344.96861589903943
100.0,2.97,344.6327495725736
100.0,2.96,344.29735101215147
100.0,2.95,343.962464996375
100.0,2.94,343.62813805537644
100.0,2.93,343.29441852881695
100.0,2.92,342.9613566245173
100.0,2.91,342.6290044775338
100.0,2.9,342.2974162094944
100.0,2.89,341.9666479879647
100.0,2.88,341.63675808559873
100.0,2.87,341.30780693878313
100.0,2.86,340.97985720545375
100.0,2.85,340.6529738217433
100.0,2.84,340.32722405704294
100.0,2.83,340.00267756706245
100.0,2.82,339.67940644439363
100.0,2.81,339.3574852660606
100.0,2.8,339.03699113747865
100.0,2.79,338.7180037322027
100.0,2.78,338.4006053267947
100.0,2.77,338.08488083008154
100.0,2.76,337.7709178060431
100.0,2.75,337.45880648949475
100.0,2.74,337.1486397937092
100.0,2.73,336.8405133090518
100.0,2.72,336.5345252916843
100.0,2.71,336.23077664133655
100.0,2.7,335.9293708671357
100.0,2.69,335.63041404044407
100.0,2.68,335.33401473365507
100.0,2.67,335.040283943896
100.0,2.66,334.74933500060234
100.0,2.65,334.4612834559464
100.0,2.64,334.17624695716154
100.0,2.63,333.8943450998703
100.0,2.62,333.6156992616051
100.0,2.61,333.3404324148121
100.0,2.6,333.06866891878826
100.0,2.59,332.80053429013446
100.0,2.58,332.5361549515044
100.0,2.57,332.27565795864143
100.0,2.56,332.0191707059083
100.0,2.55,331.76682061082465
100.0,2.54,331.51873477832925
100.0,2.53,331.27503964586197
100.0,2.52,331.0358606106204
100.0,2.51,330.80132164068283
100.0,2.5,330.5715448720314
100.0,2.49,330.3466501938122
100.0,2.48,330.1267548244891
100.0,2.47,329.91197288186277
100.0,2.46,329.7024149501723
100.0,2.45,329.4981876477496
100.0,2.44,329.2993931989011
100.0,2.43,329.10612901382234
100.0,2.42,328.9184872804505
100.0,2.41,328.73655457219587
100.0,2.4,328.5604114754495
100.0,2.39,328.39013224065286
100.0,2.38,328.2257844605726
100.0,2.37,328.06742877913047
100.0,2.36,327.9151186338746
100.0,2.35,327.76890003478564
100.0,2.34,327.62881138169115
100.0,2.33,327.494883322092
100.0,2.32,327.3671386507204
100.0,2.31,327.2455922515829
100.0,2.3,327.13025108275053
100.0,2.29,327.02111420357835
100.0,2.28,326.91817284354283
100.0,2.27,326.82141051136875
100.0,2.26,326.7308031426401
100.0,2.25,326.6463192837058
100.0,2.24,326.5679203092646
100.0,2.23,326.4955606707468
100.0,2.22,326.4291881723319
100.0,2.21,326.3687442712653
100.0,2.2,326.3141643989896
100.0,2.19,326.26537829957994
100.0,2.18,326.2223103819407
100.0,2.17,326.1848800822785
100.0,2.16,326.15300223348004
100.0,2.15,326.12658743815814
100.0,2.14,326.1055424423165
100.0,2.13,326.08977050680267
100.0,2.12,326.07917177394756
100.0,2.11,326.07364362704664
100.0,2.1,326.07308104060763
100.0,2.09,326.07737691955055
100.0,2.08,326.0864224258128
100.0,2.07,326.10010729108006
100.0,2.06,326.11832011460706
100.0,2.05,326.1409486453419
100.0,2.04,326.1678800477755
100.0,2.03,326.1990011511574
100.0,2.02,326.2341986819013
100.0,2.01,326.2733594791704
100.0,2.0,326.316370693783
100.0,1.99,326.36311997071226
100.0,1.98,326.41349561555415
100.0,1.97,326.467386745448
100.0,1.96,326.52468342498946
100.0,1.95,326.585276787759
100.0,1.94,326.64905914411435
100.0,1.93,326.7159240759446
100.0,1.92,326.78576651910356
100.0,1.91,326.85848283423866
100.0,1.9,326.9339708667562
100.0,1.89,327.0121299966404
100.0,1.88,327.09286117884335
100.0,1.87,327.1760669749417
100.0,1.86,327.26165157673444
100.0,1.85,327.34952082244394
100.0,1.84,327.43958220612853
100.0,1.83,327.5317448809158
100.0,1.82,327.6259196566162
100.0,1.81,327.7220189922526
100.0,1.8,327.8199569840006
100.0,1.79,327.9196493490271
100.0,1.78,328.02101340563854
100.0,1.77,328.123968050184
100.0,1.76,328.2284337310477
100.0,1.75,328.3343324201223
100.0,1.74,328.4415875820511
100.0,1.73,328.5501241415596
100.0,1.72,328.6598684491297
100.0,1.71,328.77074824526636
100.0,1.7,328.88269262359006
100.0,1.69,328.9956319929399
100.0,1.68,329.10949803868635
100.0,1.67,329.2242236834116
100.0,1.66,329.33974304709807
100.0,1.65,329.45599140696584
100.0,1.64,329.5729051570695
100.0,1.63,329.69042176775986
100.0,1.62,329.8084797450945
100.0,1.61,329.92701859028165
100.0,1.6,330.04597875921786
