T,theta,sigma_u,sigma_d,sigma_s,eta_u,eta_d,eta_s,Phi1,Phi2
100.0,0.0,1.8430288087807158,1.8430288087807158,2.226854201599388,-2.0041845657017684e-17,-2.004184943102923e-17,1.3003404986636097e-17,0.003791608768224115,0.003791608768224114
100.0,0.01,1.8430075876133911,1.8430075876133911,2.226854104663816,-0.008754907719803405,-0.008754907719803386,-0.00034223164514198586,0.0037916127312832785,0.0037916127312832785
100.0,0.02,1.8429439245783528,1.8429439245783543,2.2268538138524057,-0.017509615224560647,-0.017509615224561157,-0.0006844554637313523,0.0037916241936159136,0.0037916241936159136
100.0,0.03,1.8428378209986211,1.8428378209986225,2.226853329181129,-0.026263922302809415,-0.026263922302809113,-0.001026663629543145,0.0037916432973278714,0.0037916432973278714
100.0,0.04,1.8426892790921794,1.8426892790921792,2.226852650671602,-0.035017628749881326,-0.035017628749881645,-0.001368848316524341,0.0037916700421554675,0.0037916700421554675
100.0,0.05,1.8424983019641725,1.8424983019641725,2.2268517783540838,-0.04377053437141602,-0.043770534371415794,-0.0017110016990246554,0.003791704427729523,0.003791704427729523
100.0,0.06,1.8422648936068744,1.8422648936068773,2.226850712267471,-0.05252243898679152,-0.052522438986790536,-0.002053115951930972,0.003791746453575407,0.003791746453575407
100.0,0.07,1.8419890588996577,1.8419890588996584,2.2268494524593034,-0.06127314243256084,-0.061273142432561385,-0.002395183250801615,0.003791796119112941,0.003791796119112941
100.0,0.08,1.8416708036089293,1.8416708036089264,2.2268479989857606,-0.07002244456588957,-0.07002244456589365,-0.0027371957720003716,0.003791853423656442,0.003791853423656442
100.0,0.09,1.8413101343880813,1.8413101343880829,2.2268463519116515,-0.07877014526799407,-0.07877014526799347,-0.0030791456928313345,0.0037919183664146556,0.0037919183664146556
100.0,0.1,1.8409070587774334,1.8409070587774368,2.2268445113104165,-0.087516044447562,-0.08751604444756005,-0.0034210251916726338,0.003791990946490764,0.003791990946490764
100.0,0.11,1.8404615852041488,1.840461585204149,2.2268424772641255,-0.09625994204420425,-0.09625994204420493,-0.003762826448111059,0.003792071162882321,0.003792071162882321
100.0,0.12,1.8399737229821431,1.8399737229821433,2.2268402498634603,-0.10500163803188889,-0.10500163803188804,-0.004104541643076597,0.003792159014481263,0.003792159014481263
100.0,0.13,1.8394434823120045,1.8394434823120058,2.226837829207733,-0.11374093242236932,-0.11374093242236509,-0.004446162958975474,0.003792254500073836,0.003792254500073836
100.0,0.14,1.8388708742808866,1.8388708742808884,2.226835215404854,-0.12247762526862259,-0.12247762526861572,-0.004787682579826652,0.0037923576183405815,0.0037923576183405815
100.0,0.15,1.8382559108624017,1.838255910862399,2.226832408571347,-0.13121151666828376,-0.13121151666829034,-0.005129092691394051,0.003792468367856261,0.003792468367856261
100.0,0.16,1.8375986049164865,1.8375986049164876,2.226829408832329,-0.13994240676711153,-0.1399424067671099,-0.005470385481322137,0.003792586747089861,0.003792586747089861
100.0,0.17,1.836898970189299,1.8368989701893033,2.2268262163215065,-0.1486700957623696,-0.14867009576236345,-0.005811553139269723,0.0037927127544044874,0.0037927127544044874
100.0,0.18,1.8361570213130674,1.8361570213130671,2.226822831181169,-0.15739438390630411,-0.1573943839063007,-0.006152587857045393,0.0037928463880573405,0.0037928463880573405
100.0,0.19,1.8353727738059347,1.8353727738059353,2.226819253562188,-0.16611507150957938,-0.1661150715095763,-0.006493481828739524,0.0037929876461996457,0.0037929876461996457
100.0,0.2,1.8345462440718214,1.8345462440718172,2.2268154836239957,-0.17483195894469655,-0.17483195894470413,-0.006834227250861311,0.003793136526876631,0.003793136526876631
100.0,0.21,1.833677449400248,1.8336774494002461,2.2268115215345774,-0.1835448466494592,-0.1835448466494652,-0.007174816322471531,0.003793293028027415,0.003793293028027415
100.0,0.22,1.8327664079661765,1.832766407966177,2.2268073674704754,-0.1922535351303808,-0.1922535351303829,-0.007515241245317416,0.0037934571474849384,0.0037934571474849384
100.0,0.23,1.8318131388298182,1.8318131388298171,2.226803021616766,-0.20095782496613876,-0.20095782496613984,-0.00785549422396725,0.0037936288829759526,0.0037936288829759526
100.0,0.24,1.8308176619364411,1.8308176619364402,2.226798484167049,-0.20965751681101835,-0.20965751681101824,-0.008195567465944414,0.00379380823212088,0.00379380823212088
100.0,0.25,1.8297799981161806,1.8297799981161798,2.226793755323445,-0.21835241139834036,-0.21835241139834544,-0.008535453181862355,0.0037939951924337656,0.0037939951924337656
100.0,0.26,1.8287001690838234,1.8287001690838214,2.2267888352965786,-0.22704230954392074,-0.22704230954392152,-0.008875143585558196,0.0037941897613222035,0.0037941897613222035
100.0,0.27,1.8275781974385914,1.8275781974385905,2.2267837243055633,-0.23572701214947508,-0.23572701214948383,-0.009214630894228781,0.003794391936087238,0.003794391936087238
100.0,0.28,1.826414106663917,1.8264141066639177,2.2267784225779987,-0.2444063202061095,-0.24440632020611158,-0.009553907328563229,0.003794601713923281,0.003794601713923281
100.0,0.29,1.8252079211272099,1.8252079211272094,2.2267729303499473,-0.2530800347977133,-0.25308003479770746,-0.009892965112878188,0.0037948190919180227,0.0037948190919180227
100.0,0.3,1.8239596660796042,1.8239596660796022,2.226767247865925,-0.2617479571044199,-0.26174795710441806,-0.01023179647525371,0.0037950440670523494,0.0037950440670523494
100.0,0.31,1.8226693676557184,1.8226693676557204,2.2267613753788904,-0.2704098884060674,-0.27040988840606156,-0.010570393647666173,0.003795276636200175,0.003795276636200175
100.0,0.32,1.8213370528733805,1.821337052873381,2.2267553131502256,-0.2790656300856058,-0.27906563008560925,-0.010908748866122892,0.003795516796128484,0.003795516796128484
100.0,0.33,1.8199627496333664,1.8199627496333592,2.226749061449724,-0.287714983632566,-0.2877149836325927,-0.011246854370797447,0.003795764543497083,0.003795764543497083
100.0,0.34,1.8185464867190997,1.8185464867191046,2.2267426205555747,-0.29635775064654063,-0.2963577506465219,-0.011584702406164233,0.0037960198748585496,0.0037960198748585496
100.0,0.35000000000000003,1.817088293796408,1.8170882937964081,2.2267359907543405,-0.3049937328404738,-0.3049937328404748,-0.01192228522113275,0.0037962827866581473,0.0037962827866581473
100.0,0.36,1.8155882014131624,1.815588201413162,2.2267291723409546,-0.3136227320443264,-0.3136227320443287,-0.012259595069182018,0.0037965532752337024,0.0037965532752337024
100.0,0.37,1.814046240999017,1.8140462409990235,2.2267221656186935,-0.3222445502083696,-0.3222445502083496,-0.012596624208496351,0.003796831336815403,0.003796831336815403
100.0,0.38,1.8124624448650828,1.812462444865082,2.226714970899161,-0.330858989406638,-0.330858989406639,-0.012933364902099023,0.00379711696752582,0.00379711696752582
100.0,0.39,1.8108368462035793,1.810836846203584,2.2267075885022747,-0.33946585184048317,-0.3394658518404703,-0.013269809417987286,0.0037974101633796464,0.0037974101633796464
100.0,0.4,1.8091694790875288,1.8091694790875301,2.2267000187562402,-0.34806493984187864,-0.34806493984187725,-0.013605950029266867,0.003797710920283696,0.003797710920283696
100.0,0.41000000000000003,1.8074603784703946,1.807460378470402,2.2266922619975458,-0.35665605587699517,-0.3566560558769743,-0.013941779014287909,0.003798019234036643,0.003798019234036643
100.0,0.42,1.8057095801857406,1.80570958018574,2.2266843185709244,-0.36523900254952724,-0.36523900254953057,-0.01427728865677807,0.003798335100329008,0.003798335100329008
100.0,0.43,1.803917120946844,1.8039171209468474,2.226676188829349,-0.373813582604285,-0.3738135826042736,-0.014612471245978602,0.003798658514742937,0.003798658514742937
100.0,0.44,1.8020830383463595,1.8020830383463606,2.2266678731340064,-0.3823795989304947,-0.38237959893049084,-0.014947319076778086,0.0037989894727521087,0.0037989894727521087
100.0,0.45,1.8002073708559132,1.8002073708559114,2.226659371854283,-0.39093685456536,-0.3909368545653621,-0.015281824449850328,0.0037993279697215456,0.0037993279697215456
100.0,0.46,1.7982901578257109,1.7982901578257127,2.226650685367729,-0.3994851526974765,-0.3994851526974642,-0.015615979671782807,0.003799674000907528,0.003799674000907528
100.0,0.47000000000000003,1.7963314394841619,1.7963314394841634,2.2266418140600552,-0.4080242966702459,-0.40802429667023926,-0.01594977705521984,0.003800027561457392,0.003800027561457392
100.0,0.48,1.7943312569374517,1.7943312569374466,2.226632758325095,-0.41655408998538945,-0.416554089985405,-0.016283208918992056,0.003800388646409396,0.003800388646409396
100.0,0.49,1.7922896521691163,1.7922896521691134,2.2266235185647942,-0.42507433630639696,-0.4250743363064046,-0.01661626758825217,0.0038007572506925614,0.0038007572506925614
100.0,0.5,1.7902066680396416,1.7902066680396362,2.226614095189178,-0.4335848394619124,-0.43358483946193255,-0.016948945394611364,0.003801133369126535,0.003801133369126535
100.0,0.51,1.788082348286005,1.788082348285999,2.226604488616341,-0.4420854034492789,-0.4420854034492981,-0.017281234676273145,0.0038015169964213747,0.0038015169964213747
100.0,0.52,1.7859167375212393,1.7859167375212364,2.226594699272403,-0.4505758324379295,-0.4505758324379411,-0.01761312777817102,0.0038019081271774393,0.0038019081271774393
100.0,0.53,1.7837098812339707,1.7837098812339682,2.226584727591501,-0.45905593077287804,-0.4590559307728764,-0.017944617052097885,0.0038023067558851987,0.0038023067558851987
100.0,0.54,1.781461825787962,1.781461825787967,2.226574574015768,-0.46752550297815704,-0.46752550297814066,-0.018275694856847876,0.003802712876925034,0.003802712876925034
100.0,0.55,1.7791726184216434,1.7791726184216436,2.226564238995284,-0.4759843537602746,-0.4759843537602719,-0.018606353558347992,0.0038031264845671065,0.0038031264845671065
100.0,0.56,1.7768423072476016,1.7768423072475978,2.2265537229880805,-0.48443228801171623,-0.4844322880117258,-0.018936585529793156,0.0038035475729711653,0.0038035475729711653
100.0,0.5700000000000001,1.7744709412521125,1.774470941252122,2.2265430264600883,-0.4928691108143814,-0.49286911081435,-0.019266383151783223,0.003803976136186339,0.003803976136186339
100.0,0.58,1.772058570294652,1.772058570294642,2.226532149885127,-0.5012946274429412,-0.5012946274429634,-0.01959573881245539,0.003804412168151006,0.003804412168151006
100.0,0.59,1.76960524510732,1.7696052451073132,2.2265210937448736,-0.5097086433685449,-0.5097086433685609,-0.0199246449076231,0.003804855662692555,0.003804855662692555
100.0,0.6,1.7671110172944098,1.767111017294401,2.2265098585288317,-0.518110964262015,-0.5181109642620397,-0.020253093840910716,0.0038053066135271974,0.0038053066135271974
100.0,0.61,1.7645759393317957,1.7645759393317915,2.226498444734306,-0.5265013959974942,-0.5265013959975033,-0.020581078023884813,0.0038057650142598373,0.0038057650142598373
100.0,0.62,1.7620000645664429,1.762000064566447,2.226486852866375,-0.5348797446558158,-0.5348797446557981,-0.020908589876195025,0.0038062308583837923,0.0038062308583837923
100.0,0.63,1.759383447215846,1.7593834472158394,2.2264750834378626,-0.5432458165279682,-0.5432458165279885,-0.021235621825707016,0.0038067041392806497,0.0038067041392806497
100.0,0.64,1.7567261423674405,1.7567261423674374,2.226463136969305,-0.5515994181186894,-0.5515994181186985,-0.021562166308637536,0.00380718485022004,0.00380718485022004
100.0,0.65,1.7540282059780834,1.7540282059780672,2.2264510139889175,-0.5599403561497375,-0.5599403561497754,-0.021888215769690942,0.003807672984359442,0.003807672984359442
100.0,0.66,1.7512896948734085,1.7512896948734156,2.226438715032582,-0.5682684375635649,-0.5682684375635473,-0.022213762662194842,0.0038081685347439603,0.0038081685347439603
100.0,0.67,1.7485106667473256,1.7485106667473314,2.226426240643789,-0.5765834695265535,-0.5765834695265373,-0.022538799448234823,0.0038086714943061633,0.0038086714943061633
100.0,0.68,1.745691180161338,1.7456911801613442,2.2264135913736354,-0.5848852594327119,-0.5848852594326954,-0.02286331859879144,0.0038091818558657693,0.0038091818558657693
100.0,0.6900000000000001,1.7428312945439737,1.7428312945439788,2.2264007677807665,-0.5931736149070227,-0.5931736149070123,-0.023187312593873684,0.003809699612129545,0.003809699612129545
100.0,0.7000000000000001,1.73993107019016,1.739931070190158,2.226387770431366,-0.6014483438089432,-0.6014483438089483,-0.023510773922657997,0.003810224755691024,0.003810224755691024
100.0,0.71,1.736990568260601,1.7369905682605857,2.2263745998991076,-0.6097092542358749,-0.6097092542359144,-0.023833695083621525,0.003810757279030267,0.003810757279030267
100.0,0.72,1.7340098507811135,1.7340098507811126,2.2263612567651276,-0.6179561545266907,-0.617956154526697,-0.024156068584679738,0.0038112971745136955,0.0038112971745136955
100.0,0.73,1.7309889806420313,1.7309889806420309,2.2263477416179986,-0.6261888532650789,-0.6261888532650786,-0.024477886943318344,0.0038118444343938213,0.0038118444343938213
100.0,0.74,1.727928021597485,1.727928021597501,2.2263340550536803,-0.6344071592831733,-0.6344071592831375,-0.02479914268673508,0.003812399050809036,0.003812399050809036
