T,rho_B,mu_B,P
50.0,0.01,974.2181510344046,21.60709847082256
50.0,0.02,1007.6180578768377,21.607488589486135
50.0,0.03,1026.6338193093675,21.60786851157675
50.0,0.04,1039.760426299004,21.608238237549035
50.0,0.05,1049.6600701868517,21.608597766088774
50.0,0.06,1057.5186172178533,21.608947098322243
50.0,0.07,1063.9686219269158,21.609286234268396
50.0,0.08,1069.387670710061,21.6096151743763
50.0,0.09,1074.0193178144837,21.6099339193166
50.0,0.1,1078.0298630775455,21.610242469967098
50.0,0.11,1081.5379238816192,21.610540827415736
50.0,0.12,1084.6310852311885,21.61082899296579
50.0,0.13,1087.3758623314798,21.611106968141737
50.0,0.14,1089.823960582485,21.611374754695266
50.0,0.15,1092.0163706195729,21.611632354611366
50.0,0.16,1093.9861390366455,21.611879770114676
50.0,0.17,1095.7602976514484,21.612117003675777
50.0,0.18,1097.3612404888424,21.612344058017882
50.0,0.19,1098.8077279712722,21.61256093612336
50.0,0.2,1100.1156332328758,21.612767641240673
50.0,0.21,1101.2985061577083,21.612964176891275
50.0,0.22,1102.3680060852475,21.61315054687674
50.0,0.23,1103.3342382523663,21.61332675528607
50.0,0.24,1104.2060185796913,21.613492806503128
50.0,0.25,1104.9910843703994,21.61364870521426
50.0,0.26,1105.696263660947,21.61379445641604
50.0,0.27,1106.3276125944153,21.61393006542331
50.0,0.28,1106.8905307136083,21.614055538538953
50.0,0.29,1107.3898414641756,21.6141708803239
50.0,0.3,1107.8298881848539,21.61427609786575
50.0,0.31,1108.2145850896554,21.61437119783341
50.0,0.32,1108.5474748956922,21.61445618725737
50.0,0.33,1108.8317745995823,21.614531073539048
50.0,0.34,1109.070414419285,21.61459586445993
50.0,0.35,1109.2660710906368,21.614650568191415
50.0,0.36,1109.4211964731444,21.614695193304627
50.0,0.37,1109.5380422365863,21.614729748780633
50.0,0.38,1109.6186812557075,21.61475424402092
50.0,0.39,1109.6650262263463,21.614768688858195
50.0,0.4,1109.6788459252352,21.61477309356743
50.0,0.41,1109.661779462676,21.614767468877247
50.0,0.42,1109.615348818474,21.614751825981642
50.0,0.43,1109.5409699036059,21.614726176552
50.0,0.44,1109.4399623510133,21.6146905327495
50.0,0.45,1109.3135582070179,21.61464490723782
50.0,0.46,1109.1629096683982,21.614589313196277
50.0,0.47,1108.9890959883417,21.614523764333285
50.0,0.48,1108.7931296562938,21.61444827490027
50.0,0.49,1108.575961941604,21.614362859705942
50.0,0.5,1108.3384878782272,21.61426753413102
50.0,0.51,1108.0815507567547,21.614162314143424
50.0,0.52,1107.8059461814482,21.614047216313917
50.0,0.53,1107.5124257418718,21.61392225783213
50.0,0.54,1107.2017003424698,21.61378745652323
50.0,0.55,1106.8744432278247,21.613642830865043
50.0,0.56,1106.531292736451,21.613488400005654
50.0,0.57,1106.1728548121189,21.613324183781614
50.0,0.58,1105.799705297949,21.61315020273678
50.0,0.59,1105.4123920357056,21.612966478141608
50.0,0.6,1105.0114367899143,21.61277303201319
50.0,0.61,1104.5973370142303,21.612569887135916
50.0,0.62,1104.1705674755883,21.612357067082677
50.0,0.63,1103.7315817497017,21.61213459623704
50.0,0.64,1103.2808136002436,21.611902499815827
50.0,0.65,1102.8186782525222,21.611660803892622
50.0,0.66,1102.3455735713471,21.61140953542208
50.0,0.67,1101.8618811519148,21.611148722264943
50.0,0.68,1101.3679673313109,21.61087839321396
50.0,0.69,1100.8641841278475,21.61059857802068
50.0,0.7,1100.3508701143332,21.61030930742316
50.0,0.71,1099.828351231145,21.610010613174516
50.0,0.72,1099.2969415440734,21.609702528072656
50.0,0.73,1098.756943951663,21.60938508599086
50.0,0.74,1098.2086508461978,21.60905832190952
50.0,0.75,1097.6523447321624,21.608722271948896
50.0,0.76,1097.0882988056305,21.608376973403132
50.0,0.77,1096.5167774976715,21.608022464775406
50.0,0.78,1095.9380369847233,21.607658785814294
50.0,0.79,1095.3523256684414,21.60728597755152
50.0,0.8,1094.75988462749,21.60690408234093
50.0,0.81,1094.1609480434172,21.606513143899008
50.0,0.82,1093.5557436025697,21.606113207346738
50.0,0.83,1092.944492875937,21.605704319252983
50.0,0.84,1092.327411678613,21.605286527679556
50.0,0.85,1091.7047104103196,21.60485988222785
50.0,0.86,1091.076594378544,21.6044244340871
50.0,0.87,1090.4432641054896,21.60398023608462
50.0,0.88,1089.8049156201262,21.603527342737753
50.0,0.89,1089.161740736434,21.603065810307736
50.0,0.9,1088.5139273188317,21.602595696855712
50.0,0.91,1087.8616595358392,21.602117062300678
50.0,0.92,1087.205118102773,21.601629968479706
50.0,0.93,1086.5444805143989,21.601134479210373
50.0,0.94,1085.879921268177,21.600630660355698
50.0,0.95,1085.2116120790215,21.600118579891294
50.0,0.96,1084.5397220859888,21.599598307975274
50.0,0.97,1083.864418051788,21.599069917020774
50.0,0.98,1083.1858645554958,21.59853348177128
50.0,0.99,1082.504224179143,21.59798907937871
50.0,1.0,1081.8196576886698,21.597436789484767
50.0,1.01,1081.132324209693,21.596876694305116
50.0,1.02,1080.442381398621,21.59630887871721
