T,rho_B,mu_B
20.0,3.0,363.29011954571337
20.0,2.99,362.7714187906837
20.0,2.98,362.2497235276331
20.0,2.97,361.7245733518859
20.0,2.96,361.1955443882051
20.0,2.95,360.6622554496849
20.0,2.94,360.12437522927263
20.0,2.93,359.5816304296207
20.0,2.92,359.03381465093986
20.0,2.91,358.4807977514391
20.0,2.9,357.92253527780207
20.0,2.89,357.35907744511957
20.0,2.88,356.79057704313277
20.0,2.87,356.21729557909754
20.0,2.86,355.63960695872487
20.0,2.85,355.0579980734908
20.0,2.84,354.47306581374386
20.0,2.83,353.8855102565481
20.0,2.82,353.29612406244036
20.0,2.81,352.70577841931015
20.0,2.8,352.11540615041906
20.0,2.79,351.5259828165685
20.0,2.78,350.9385067623959
20.0,2.77,350.3539790758407
20.0,2.76,349.77338435920296
20.0,2.75,349.1976730742284
20.0,2.74,348.62774605113833
20.0,2.73,348.0644415680192
20.0,2.72,347.5085252304009
20.0,2.71,346.9606827212458
20.0,2.7,346.4215153532917
20.0,2.69,345.89153824066403
20.0,2.68,345.3711808161375
20.0,2.67,344.8607893558062
20.0,2.66,344.3606311350037
20.0,2.65,343.87089982753895
20.0,2.64,343.3917217721032
20.0,2.63,342.92316276061143
20.0,2.62,342.4652350475782
20.0,2.61,342.01790433142463
20.0,2.6,341.5810965123821
20.0,2.59,341.15470408303366
20.0,2.58,340.73859205357377
20.0,2.57,340.3326033528362
20.0,2.56,339.9365636775449
20.0,2.55,339.55028578627196
20.0,2.54,339.1735732520306
20.0,2.53,338.8062236992501
20.0,2.52,338.44803155816527
20.0,2.51,338.09879037336935
20.0,2.5,337.7582947043616
20.0,2.49,337.4263416550359
20.0,2.48,337.1027320668542
20.0,2.47,336.78727140733656
20.0,2.46,336.47977038182984
20.0,2.45,336.18004529253267
20.0,2.44,335.8879181646123
20.0,2.43,335.6032166550777
20.0,2.42,335.32577375591023
20.0,2.41,335.05542729886275
20.0,2.4,334.79201926530686
20.0,2.39,334.53539490053663
20.0,2.38,334.2854016279891
20.0,2.37,334.0418877549042
20.0,2.36,333.8047009569517
20.0,2.35,333.5736865252391
20.0,2.34,333.34868535486265
20.0,2.33,333.12953164960646
20.0,2.32,332.9160503125424
20.0,2.31,332.70805398691226
20.0,2.3,332.50533970571934
20.0,2.29,332.30768510166536
20.0,2.28,332.1148441212719
20.0,2.27,331.9265421778377
20.0,2.26,331.7424706669924
20.0,2.25,331.5622807554522
20.0,2.24,331.3855763375221
20.0,2.23,331.2119060340961
20.0,2.22,331.04075408427656
20.0,2.21,330.87152994883706
20.0,2.2,330.70355640589383
20.0,2.19,330.536055869965
20.0,2.18,330.368134603391
20.0,2.17,330.1987644103959
20.0,2.16,330.02676130505245
20.0,2.15,329.85076021309266
20.0,2.14,329.6691865112506
20.0,2.13,329.480219999657
20.0,2.12,329.28175411979873
20.0,2.11,329.0713464310537
20.0,2.1,328.846159698962
20.0,2.09,328.6028918977342
20.0,2.08,328.3376939463217
