T,eB,sigmau,sigmad,sigmas
305.0,0.2,-0.09773343606742158,-0.09846999972273562,-27.798067263904095
303.0,0.2,-0.09717990756093209,-0.09795339021992122,-27.480769182167577
301.0,0.2,-0.09660708138430851,-0.0974197287327414,-27.15682112033162
299.0,0.2,-0.09601376969562847,-0.0968679935457406,-26.82615708429123
297.0,0.2,-0.0953986821305024,-0.09629707534326215,-26.488723826920168
295.0,0.2,-0.0947604149112855,-0.0957057679450457,-26.14448258727472
293.0,0.2,-0.09409743860114217,-0.09509275789899618,-25.79341092926581
291.0,0.2,-0.09340808430626013,-0.09445661276703654,-25.435504667168107
289.0,0.2,-0.09269052809564426,-0.09379576791188371,-25.07077986066527
287.0,0.2,-0.09194277336717449,-0.09310851155878508,-24.6992748569381
285.0,0.2,-0.09116263083922016,-0.0923929678652613,-24.321052351641004
283.0,0.2,-0.09034769578714452,-0.09164707768210123,-23.936201434669133
281.0,0.2,-0.08949532207074329,-0.09086857662791137,-23.54483958052789
279.0,0.2,-0.08860259240883317,-0.09005497002478058,-23.147114537189893
277.0,0.2,-0.0876662842464957,-0.08920350415038114,-22.743206061830108
275.0,0.2,-0.08668283042352765,-0.08831113314764849,-22.33332744717061
273.0,0.2,-0.08564827368241823,-0.08737448079107213,-21.91772677873565
271.0,0.2,-0.08455821384162787,-0.08638979613109976,-21.496687861547287
269.0,0.2,-0.08340774619333202,-0.08535290181521349,-21.070530755096232
267.0,0.2,-0.0821913893486712,-0.08425913360298787,-20.63961185816267
265.0,0.2,-0.08090300032762765,-0.08310326923577649,-20.20432349049302
263.0,0.2,-0.07953567414793228,-0.08187944436688843,-19.765092926588938
261.0,0.2,-0.07808162447169464,-0.08058105267475746,-19.32238084781946
259.0,0.2,-0.07653204097102617,-0.07920062652863691,-18.87667919244241
257.0,0.2,-0.07487691790828355,-0.07772969359772985,-18.42850839830032
255.0,0.2,-0.07310484690145524,-0.07615860351346626,-17.978414049092418
253.0,0.2,-0.07120276483421017,-0.07447631700409585,-17.52696295108645
251.0,0.2,-0.06915564519624984,-0.07267014767141444,-17.074738681524533
249.0,0.2,-0.06694611755322089,-0.07072544355994381,-16.62233666119737
247.0,0.2,-0.06455399499041947,-0.06862519157747826,-16.170358809848317
245.0,0.2,-0.06195568273856278,-0.06634952222742596,-15.719407842137894
243.0,0.2,-0.059123432027972544,-0.06387508437343992,-15.270081251322836
241.0,0.2,-0.05602439043588303,-0.06117424894152146,-14.822965004413648
239.0,0.2,-0.05261938196849436,-0.058214085184201236,-14.378626931949672
237.0,0.2,-0.048861324427133423,-0.05495503129647261,-13.937609731031202
235.0,0.2,-0.04469315458213674,-0.05134914961426862,-13.50042340132901
233.0,0.2,-0.04004507775049371,-0.04733781049643615,-13.067536783000415
231.0,0.2,-0.03483087905577742,-0.042848580840725514,-12.639367633241807
229.0,0.2,-0.028942916044652822,-0.037790991566821974,-12.21627031392445
227.0,0.2,-0.022245237148257546,-0.032050705905737775,-11.798519578353977
225.0,0.2,-0.014564010002425354,-0.025481381286941884,-11.386287986851206
223.0,0.2,-0.005674062024828563,-0.017893176980209535,-10.979612879566954
221.0,0.2,0.00472020027667075,-0.00903636934468377,-10.578346127254363
219.0,0.2,0.017011899223208338,0.0014221099593467734,-10.182075306150304
217.0,0.2,0.03172979912017326,0.013932045914145763,-9.789997422897603
215.0,0.2,0.04958989185977214,0.02910596966433443,-9.400715038763174
213.0,0.2,0.07155809855439932,0.04777721165373938,-9.01191235902318
211.0,0.2,0.09890349485195915,0.07105514746393349,-8.619874855054086
209.0,0.2,0.1331697893285121,0.10032036084836626,-8.218914976692952
207.0,0.2,0.17588951075340054,0.13701245818148777,-7.801148825565271
205.0,0.2,0.2278052950282704,0.18199397469564704,-7.357865411041127
203.0,0.2,0.2877604658870825,0.23457234661845838,-6.8838296049520045
201.0,0.2,0.3523998788137499,0.29210641674787696,-6.3824371311874915
199.0,0.2,0.41756577243716364,0.35105459587976695,-5.865698016876845
197.0,0.2,0.48007877812780186,0.4085074753646274,-5.348301025381128
195.0,0.2,0.5383132310703531,0.46280600311918996,-4.842151511227927
193.0,0.2,0.5918041181919844,0.5133087828715721,-4.3547340519208175
191.0,0.2,0.6407056274438249,0.559966745662131,-3.88982429578534
189.0,0.2,0.6854325355574364,0.6030149406718595,-3.44868991486078
187.0,0.2,0.7264780686885618,0.6428030462466798,-3.03104355615958
185.0,0.2,0.7643361167945222,0.6797151691652059,-2.635648505319932
183.0,0.2,0.7994761259472243,0.7141381768564768,-2.2606514925745183
181.0,0.2,0.8323438168941286,0.7464558122376328,-1.9037199469539914
179.0,0.2,0.8633762746269554,0.7770583012965024,-1.5620254811282863
177.0,0.2,0.8930282948340241,0.8063644419310988,-1.2320792959063578
175.0,0.2,0.9218093961089553,0.8348554207425849,-0.9094165604902253
173.0,0.2,0.9503136629114344,0.8631026250561655,-0.5883179471345108
171.0,0.2,0.9790852312481895,0.8916340622827323,-0.2632917923247968
169.0,0.2,1.0075250460845093,0.9198523183028654,0.05880096853311512
167.0,0.2,1.031791622235756,0.9439486680048216,0.33485989104278535
165.0,0.2,1.0489177172235016,0.9609695571098715,0.5307750954564225
163.0,0.2,1.060543044741083,0.9725295392665301,0.6642337892741677
161.0,0.2,1.068818760728898,0.9807591989866791,0.7592898645823647
159.0,0.2,1.0750155683019305,0.9869195270562886,0.8303285885969276
157.0,0.2,1.0798355623323637,0.9917082350509576,0.8853719911315735
155.0,0.2,1.0836886787572975,0.9955331849872808,0.9291412215756496
153.0,0.2,1.0868307722149901,0.9986492032412971,0.9646036289606428
151.0,0.2,1.0894310970400545,1.001225019161848,0.9937343639282563
149.0,0.2,1.09160710341629,1.003377812387564,1.0179114035592727
147.0,0.2,1.0934435309058252,1.0051921846641443,1.0381334435407976
145.0,0.2,1.0950035004243335,1.0067311890506305,1.0551470944397061
143.0,0.2,1.096335285289239,1.0080430672487375,1.0695248909545318
