T,phi1,phi2,phi3,Phi1,Phi2
300.0,-0.018564961685938262,-0.01551020250394467,-0.40407535695649593,0.842093784923663,0.8421090777709441
298.0,-0.019630011517754505,-0.01642545357596339,-0.42508755507924106,0.83982098031869,0.8398367313113163
296.0,-0.020734590142942367,-0.017371209973804237,-0.44648421733200805,0.8375034535191785,0.8375196782879313
294.0,-0.021881263623705998,-0.018349371030360256,-0.4682664520116005,0.8351399825074484,0.8351566972986605
292.0,-0.023072826888918728,-0.019362004132548714,-0.49043450458839716,0.8327293006720214,0.8327465223750958
290.0,-0.024312328908351714,-0.020411363073279728,-0.512987670187079,0.8302700949893519,0.8302878411655394
288.0,-0.02560310116837415,-0.021499908779137364,-0.535924203778018,0.827761004141014,0.8277792930534968
286.0,-0.026948789963183083,-0.022630332779209436,-0.5592412290399842,0.8252006165626679,0.8252194672080017
284.0,-0.02835339311053911,-0.023805583847778564,-0.5829346470579602,0.8225874684193016,0.8226069005602694
282.0,-0.029821301816350582,-0.02502889833538905,-0.6069990462304957,0.8199200414997029,0.8199400756996443
280.0,-0.03135734855327475,-0.026303834802816194,-0.6314276149741217,0.817196761020702,0.8172174186793855
278.0,-0.0329668619912066,-0.027634313695205595,-0.6562120590195564,0.8144159933289611,0.8144372967200784
276.0,-0.03465573023018769,-0.02902466294503216,-0.6813425252867421,0.8115760434846468,0.8115980157950246
274.0,-0.036430473849401485,-0.03047967058003446,-0.706807534492289,0.8086751527072188,0.8086978180778579
272.0,-0.03829833061301923,-0.03200464564568157,-0.7325939247722503,0.8057114956587371,0.8057348792278136
270.0,-0.04026735408227334,-0.03360548904367404,-0.7586868086834416,0.802683177534021,0.8027073054820129
268.0,-0.04234652889608781,-0.035288776254936725,-0.7850695459651714,0.799588230920967,0.7996131305181067
266.0,-0.04454590613027594,-0.037061854379464125,-0.8117237343928052,0.7964246123853995,0.7964503120416956
264.0,-0.04687676296719468,-0.03893295651480625,-0.838629220923923,0.7931901987267088,0.7932167280448397
262.0,-0.04935179195754003,-0.04091133724875142,-0.8657641351280897,0.7898827828387958,0.7899101726702448
260.0,-0.05198532650472291,-0.04300743401138249,-0.8931049466014952,0.7865000690983059,0.7865283516031931
258.0,-0.05479361094723915,-0.04523306028758379,-0.9206265477095086,0.7830396681863492,0.7830688768975225
256.0,-0.0577951258877668,-0.04760163832928889,-0.9483023625917378,0.7794990912299892,0.7795292611220647
254.0,-0.061010982401907284,-0.05012848115980042,-0.9761044829324769,0.7758757431253541,0.7759069106895666
252.0,-0.0644654027081978,-0.05283113651515153,-1.0040038305867514,0.7721669148713349,0.7721991181972641
250.0,-0.06818631015024293,-0.055729809179365125,-1.0319703468109291,0.7683697746989258,0.7684030535644366
248.0,-0.07220605843581734,-0.0588478833102865,-1.059973207646847,0.7644813577218806,0.7645157536929702
246.0,-0.07656233971858585,-0.062212573350000355,-1.08798106504464,0.7604985537489392,0.7605341102916544
244.0,-0.0812993243381429,-0.0658557417359214,-1.1159623136997399,0.7564180927777642,0.7564548553849996
242.0,-0.08646910337623391,-0.06981493500115159,-1.1438853844955068,0.7522365275137103,0.7522745438505835
240.0,-0.09213353088573858,-0.07413470864339752,-1.1717190671208362,0.7479502119953843,0.7479895320681526
238.0,-0.09836659904791493,-0.07886833785024296,-1.1994328672307197,0.7435552750150701,0.7435959513703682
236.0,-0.10525753163813503,-0.08408004958024569,-1.2269974079910868,0.7390475864189776,0.7390896743828347
234.0,-0.11291485664960355,-0.08984796740393174,-1.2543848928867278,0.7344227134340489,0.7344662714041614
232.0,-0.12147182935652319,-0.09626804283675078,-1.2815696577419224,0.7296758626804613,0.7297209524913424
230.0,-0.13109374024873235,-0.10345936949710821,-1.3085288574788985,0.7248018011287475,0.7248484885189789
228.0,-0.1419878851266756,-0.11157146077986713,-1.3352433614638302,0.7197947453088354,0.7198431005349557
226.0,-0.15441733741546665,-0.12079435083426136,-1.3616989777447546,0.7146482014430914,0.7146983001096031
224.0,-0.16872020232936763,-0.13137280155959086,-1.3878882040396867,0.7093547278077292,0.709406652024224
222.0,-0.18533681922027972,-0.14362653242383025,-1.4138128347896675,0.7039055707832692,0.703959410830261
220.0,-0.20484846442431612,-0.1579793076760222,-1.439487978388361,0.6982900908818098,0.6983459476891962
218.0,-0.22803239665978844,-0.17500092193966543,-1.46494842124263,0.6924948322444008,0.6925528212015701
216.0,-0.2559388986696798,-0.19546728297069188,-1.4902589037482146,0.6865019781684005,0.6865622351646122
214.0,-0.28999368569849077,-0.22044331669564277,-1.5155307942255287,0.6802867491939099,0.6803494404440449
212.0,-0.33211539201361895,-0.2513858301801561,-1.5409485226820687,0.6738130370813188,0.673878375341365
210.0,-0.38479061507145845,-0.2902329594800372,-1.5668079424526353,0.66702640610854,0.6670946771761772
208.0,-0.45092535148486396,-0.33935942127556734,-1.5935582198301714,0.6598444180629934,0.6599160215119796
206.0,-0.5330850029831451,-0.40111133931471243,-1.6218028404368112,0.6521485590047039,0.6522240606844812
204.0,-0.6317736244149952,-0.47659162415610007,-1.6521552699325948,0.6437919023888321,0.6438720751665001
202.0,-0.7435625494170992,-0.5641113421080202,-1.6848848794738003,0.6346389851966074,0.6347247905197689
200.0,-0.8614866762182608,-0.6590401490714026,-1.7195995221961462,0.6246188504080079,0.6247113434747148
198.0,-0.9782270575141746,-0.7558376708234348,-1.7553670019279026,0.6137350559610169,0.6138352815039165
196.0,-1.0888464439173422,-0.850220034248348,-1.7911605589923043,0.6020246218380298,0.6021335761406797
194.0,-1.191133785023304,-0.9397777402414206,-1.8261813403176401,0.589514393494425,0.5896330535100988
192.0,-1.2846806261572308,-1.02353788296483,-1.8599291107008746,0.5762006423482386,0.5763300259666287
190.0,-1.3699713844763632,-1.1013675097366642,-1.8921452982035363,0.5620445596909884,0.5621857948647817
188.0,-1.4478355031815207,-1.1735555146228809,-1.922735187498221,0.5469720928641346,0.5471264922740796
186.0,-1.519181307648241,-1.2405773926327779,-1.9517071424430936,0.5308722575239867,0.5310414056713941
184.0,-1.5848863088267606,-1.3029774670519663,-1.9791330477998568,0.5135915484718023,0.5137774140493917
182.0,-1.6457641025056853,-1.36131697938251,-2.0051253005984195,0.4949228212350248,0.49512791479982116
