rho_B,mu_B,eB
0.01,1018.1166702001073,0.05
0.02,1037.082068482942,0.05
0.03,1047.44053263115,0.05
0.04,1054.2921830753414,0.05
0.05,1059.2378964351933,0.05
0.06,1062.9931306879619,0.05
0.07,1065.9417191138707,0.05
0.08,1068.3148158473125,0.05
0.09,1070.2634009754177,0.05
0.1,1071.8922832163682,0.05
0.11,1073.2777745167027,0.05
0.12,1074.477608290599,0.05
0.13,1075.5368427526664,0.05
0.14,1076.491544171824,0.05
0.15,1077.3711483632453,0.05
0.16,1078.2000715826923,0.05
0.17,1078.9987555346763,0.05
0.18,1079.784408554002,0.05
0.19,1080.571504477947,0.05
0.2,1081.3721145949087,0.05
0.21,1082.1961157557494,0.05
0.22,1083.0513042378075,0.05
0.23,1083.9434377675934,0.05
0.24,1084.8762253869493,0.05
0.25,1085.8512853904183,0.05
0.26,1086.868094319986,0.05
0.27,1087.9239537279273,0.05
0.28,1089.0140044620348,0.05
0.29,1090.1313185970512,0.05
0.3,1091.267094877503,0.05
0.31,1092.41097340301,0.05
0.32,1093.5514694527285,0.05
0.33,1094.676506842416,0.05
0.34,1095.774011803368,0.05
0.35,1096.8325137982267,0.05
0.36,1097.8416942583865,0.05
0.37,1098.7928301914221,0.05
0.38,1099.679095917668,0.05
0.39,1100.495708564343,0.05
0.4,1101.2399254069126,0.05
0.41,1101.910918413888,0.05
0.42,1102.509560612409,0.05
0.43,1103.0381602251216,0.05
0.44,1103.500174043701,0.05
0.45,1103.899924005699,0.05
0.46,1104.2423328681086,0.05
0.47,1104.5326877977611,0.05
0.48,1104.7764353363555,0.05
0.49,1104.9790076297909,0.05
0.5,1105.1456777783599,0.05
0.51,1105.2814412794833,0.05
0.52,1105.3909204152162,0.05
0.53,1105.4782887622823,0.05
0.54,1105.5472135310995,0.05
0.55,1105.6008140038768,0.05
0.56,1105.6416348332239,0.05
0.57,1105.671633323227,0.05
0.58,1105.6921800230714,0.05
0.59,1105.7040720244204,0.05
0.6,1105.7075582911261,0.05
0.61,1105.7023761946061,0.05
0.62,1105.6877982124252,0.05
0.63,1105.662687498296,0.05
0.64,1105.6255607695068,0.05
0.65,1105.5746567000085,0.05
0.66,1105.5080077716073,0.05
0.67,1105.4235133462448,0.05
0.68,1105.3190116090777,0.05
0.69,1105.1923480292498,0.05
0.7,1105.041438121264,0.05
0.71,1104.8643225784178,0.05
0.72,1104.6592132820674,0.05
0.73,1104.4245292325825,0.05
0.74,1104.1589220460287,0.05
0.75,1103.8612912514157,0.05
