T,rho_B,mu_B,P
131.03,3.0,300.3021043743124,21.02270406347086
131.03,2.99,300.06258511292503,21.024105195397503
131.03,2.98,299.8257205527951,21.025527194930493
131.03,2.97,299.59157707784254,21.026970358622037
131.03,2.96,299.3602197090978,21.028434970483524
131.03,2.95,299.13171257303554,21.029921302953827
131.03,2.94,298.90611873782063,21.031429615873492
131.03,2.93,298.68350004640644,21.032960155460056
131.03,2.92,298.4639169473685,21.034513153291392
131.03,2.91,298.24742832435277,21.036088825303302
131.03,2.9,298.0340913251325,21.037687370808463
131.03,2.89,297.8239611912855,21.03930897154364
131.03,2.88,297.61709108959144,21.04095379075248
131.03,2.87,297.4135319462228,21.042621972310776
131.03,2.86,297.2133322848979,21.044313639901688
131.03,2.85,297.0165380701176,21.04602889624755
131.03,2.84,296.8231925566115,21.047767822405103
131.03,2.83,296.6333361461265,21.049530477130578
131.03,2.82,296.44700625265574,21.051316896320287
131.03,2.81,296.2642371770976,21.053127092532456
131.03,2.8,296.08505999236473,21.054961054594685
131.03,2.79,295.9095024397967,21.056818747301225
131.03,2.78,295.73758883772285,21.058700111203695
131.03,2.77,295.569340002828,21.060605062494854
131.03,2.76,295.4047731849615,21.062533489428617
131.03,2.75,295.24390201582,21.064485266537577
131.03,2.74,295.086736471862,21.066460233831318
131.03,2.73,294.93328285167695,21.068458210889936
131.03,2.72,294.7835437678475,21.070478993827248
131.03,2.71,294.6375181532971,21.07252235575361
131.03,2.7,294.495201281885,21.074588047326596
131.03,2.69,294.35658480295945,21.076675797385846
131.03,2.68,294.22165678942923,21.078785313666554
131.03,2.67,294.09040179877286,21.080916283585918
131.03,2.66,293.96280094636484,21.083068375096417
131.03,2.65,293.8388319903497,21.08524123759917
131.03,2.64,293.71846942722755,21.087434502910284
131.03,2.63,293.6016845972718,21.089647786273048
131.03,2.62,293.4884457988178,21.091880687408324
131.03,2.61,293.37871841042806,21.09413279159596
131.03,2.6,293.2724650199237,21.096403670779402
131.03,2.59,293.16964555924375,21.09869288468652
131.03,2.58,293.07021744410696,21.10099998195932
131.03,2.57,292.97413571744477,21.103324501285748
131.03,2.56,292.88135319562394,21.105665972527106
131.03,2.55,292.7918206164711,21.108023917834732
131.03,2.54,292.70548678819677,21.110397852750808
131.03,2.53,292.6222987383185,21.11278728728717
131.03,2.52,292.54220186178435,21.115191726978246
131.03,2.51,292.46514006751335,21.11761067390336
131.03,2.5,292.3910559226642,21.120043627674804
131.03,2.49,292.319890793994,21.122490086388538
131.03,2.48,292.2515849857475,21.12494954753462
131.03,2.47,292.18607787356177,21.127421508865517
131.03,2.46,292.1233080339623,21.129905469219963
131.03,2.45,292.06321336908746,21.13240092930178
131.03,2.44,292.0057312263205,21.13490739241211
131.03,2.43,291.9507985126063,21.137424365135125
131.03,2.42,291.8983518032324,21.139951357976695
131.03,2.41,291.8483274449803,21.14248788595674
131.03,2.4,291.8006616535255,21.145033469154775
131.03,2.39,291.75529060507375,21.14758763321107
131.03,2.38,291.7121505222201,21.15014990978254
131.03,2.37,291.67117775407735,21.15271983695629
131.03,2.36,291.6323088507436,21.155296959620685
131.03,2.35,291.59548063221524,21.157880829796817
131.03,2.34,291.5606302518676,21.16047100693105
131.03,2.33,291.5276952546582,21.16306705815067
131.03,2.32,291.4966136302051,21.16566855848465
131.03,2.31,291.46732386094396,21.168275091051
131.03,2.3,291.43976496553915,21.170886247212653
131.03,2.29,291.41387653775433,21.173501626703896
131.03,2.28,291.3895987809997,21.176120837729197
131.03,2.27,291.3668725387496,21.178743497035843
131.03,2.26,291.34563932107227,21.181369229962822
131.03,2.25,291.32584132745467,21.183997670467065
131.03,2.24,291.3074214661592,21.186628461129363
131.03,2.23,291.2903233703109,21.18926125314103
131.03,2.22,291.2744914109247,21.191895706273385
131.03,2.21,291.2598707070736,21.19453148883118
131.03,2.2,291.24640713338033,21.197168277591608
131.03,2.19,291.234047325059,21.199805757730378
131.03,2.18,291.2227386806287,21.202443622735792
131.03,2.17,291.2124293625315,21.20508157431268
131.03,2.16,291.20306829577925,21.207719322276485
131.03,2.15,291.1946051648212,21.210356584439456
131.03,2.14,291.18699040874344,21.212993086489412
131.03,2.13,291.1801752149836,21.215628561862157
131.03,2.12,291.1741115116702,21.218262751608655
131.03,2.11,291.168751958717,21.2208954042574
131.03,2.1,291.16404993778605,21.22352627567307
131.03,2.09,291.15995954126294,21.22615512891193
131.03,2.08,291.15643556029426,21.228781734074914
131.03,2.07,291.1534334720224,21.23140586815861
131.03,2.06,291.1509094261149,21.23402731490501
131.03,2.05,291.1488202306235,21.236645864650352
131.03,2.04,291.1471233373104,21.239261314173508
