T,rho1,rho2,rho_minus,rho_plus,mu_star
10.0,0.0013834167028940218,2.503252584797048,1.89,0.24,360.9150196255667
12.0,0.002665556092551727,2.502645587342346,1.89,0.24,360.8416506217861
14.0,0.004021723559397948,2.5019346337749413,1.89,0.24,360.7531582011265
16.0,0.005464259251777073,2.5011588067565254,1.89,0.25,360.65036421480033
18.0,0.007164641717509044,2.5003129984327956,1.89,0.25,360.5323582927497
20.0,0.009254164094452148,2.499399602342664,1.89,0.26,360.39847909407405
22.0,0.011566122110794603,2.498432639574977,1.89,0.27,360.2484641624888
24.0,0.014261273764475843,2.4974188995582587,1.9,0.27,360.08172754191776
26.0,0.01748416859059486,2.496376393906423,1.9,0.28,359.8980670984438
28.0,0.02092934468726731,2.4953121125726536,1.9,0.29,359.69680578450976
30.0,0.024559513483512582,2.4942328043281172,1.9,0.3,359.477208235039
32.0,0.02854242961532966,2.493156941983807,1.9,0.31,359.23893078798557
34.0,0.032766068482351696,2.4920866147944425,1.9,0.32,358.98095074414306
36.0,0.03730388227104701,2.4910372086179007,1.9,0.32,358.7026952532264
38.0,0.04213272860071817,2.4900184922543587,1.91,0.33,358.4033143287782
40.0,0.04727300622504446,2.489040900690553,1.91,0.34,358.08192832102054
42.0,0.05272536015353068,2.4881203172672266,1.91,0.36,357.73779166245964
44.0,0.05850479376413611,2.487261123071771,1.91,0.37,357.3696691090636
46.0,0.06463314983773231,2.486487133811629,1.92,0.38,356.97698378982057
48.0,0.07108651502053878,2.4857957724345483,1.92,0.39,356.5581124956364
50.0,0.07791766401237081,2.485211390871701,1.92,0.4,356.11235816426796
52.0,0.08513009944340053,2.484744940834683,1.92,0.41,355.63845940304105
54.0,0.09273367364654614,2.4844064163817854,1.93,0.42,355.13505216747797
56.0,0.10075543922964829,2.484209954009653,1.93,0.44,354.6008494038448
58.0,0.10921463802204744,2.484168788579957,1.94,0.45,354.03446455365764
60.0,0.11811683035120815,2.484291506123157,1.94,0.46,353.4342729435583
62.0,0.127538358272033,2.4846010964611205,1.95,0.48,352.79908963190144
64.0,0.13746202156823756,2.4850994468565757,1.95,0.49,352.1269132581942
66.0,0.14793137961746367,2.4858003520537797,1.96,0.5,351.4161010980194
68.0,0.15898291928026034,2.4867145362528813,1.96,0.52,350.6648388676969
70.0,0.17065696901726493,2.4878515404756603,1.97,0.54,349.8712099342725
72.0,0.1830108654095311,2.4892193680209163,1.97,0.55,349.0331984983061
74.0,0.19614775124192418,2.490824728063985,1.98,0.57,348.14869659603
76.0,0.20936728789082498,2.4926769532758,1.99,0.59,347.2156529571069
78.0,0.22450406965282177,2.494766722713671,1.99,0.6,346.2313788756386
80.0,0.2400918549274492,2.497102746604994,2.0,0.62,345.19376287484704
82.0,0.2565239971709586,2.4996788349900307,2.01,0.64,344.1002154749867
84.0,0.27408474297069435,2.502485404712091,2.02,0.66,342.94808000191904
86.0,0.292721102414278,2.505508473989427,2.03,0.68,341.73463175198606
88.0,0.31260446703257283,2.5087280936462935,2.04,0.71,340.4570223903082
90.0,0.3338239641898185,2.5121167105504045,2.05,0.73,339.1123004329351
92.0,0.35650204288422194,2.5156365410861152,2.06,0.75,337.6974079619159
94.0,0.380769611320365,2.5192398970310945,2.07,0.78,336.2091840099739
96.0,0.4067765018127895,2.5228654233940326,2.08,0.81,334.64436661659903
98.0,0.4346984368742465,2.526434530233608,2.09,0.83,332.99959768569045
100.0,0.46473107746620956,2.5298502874953694,2.1,0.86,331.2714287357132
102.0,0.4971009817876079,2.5329903316853106,2.12,0.9,329.4563283544047
104.0,0.5320716472276905,2.535701429278937,2.13,0.93,327.5506920737576
106.0,0.5699514410041068,2.5377934334388224,2.14,0.96,325.5508550826249
108.0,0.6111101579488981,2.539027174133841,2.15,1.0,323.45310885954143
110.0,0.6559930644219356,2.5390998349341904,2.16,1.04,321.2537228813312
112.0,0.7051508081674024,2.537625909855947,2.17,1.08,318.94897313956596
114.0,0.7592749172840297,2.534106500789712,2.18,1.13,316.535179864914
116.0,0.8192568930665436,2.527881595041745,2.19,1.18,314.0087577115298
118.0,0.88627758839035,2.51805888764471,2.2,1.23,311.36628294452953
120.0,0.961958051491906,2.50338334052365,2.2,1.29,308.6045841150318
122.0,1.048623342953708,2.481999182632079,2.2,1.36,305.7208648437057
124.0,1.1498377024093138,2.450962010604258,2.2,1.43,302.7128702224978
126.0,1.2716280777988178,2.4050574432258625,2.18,1.52,299.5791116338965
128.0,1.4262227205733302,2.3331212029625696,2.15,1.63,296.31916607666454
130.0,1.651988461117814,2.1981553676854046,2.09,1.77,292.9340623100515
130.03,1.6565618026767868,2.1950126201427715,2.09,1.77,292.88234525558397
130.13,1.6723089744218391,2.184061620729425,2.08,1.78,292.7097563465397
130.23,1.6888863255444513,2.1722960311386807,2.07,1.79,292.5368620648485
130.33,1.7064637176074064,2.1595538882483365,2.07,1.8,292.3636630018695
130.43,1.7252512729931835,2.1456335369605934,2.06,1.82,292.1901596293863
130.53,1.7455510584176992,2.1302263217106567,2.05,1.83,292.01635253817176
130.63,1.7678266971798064,2.112867011528659,2.04,1.84,291.84224228547976
130.73,1.7928791093573109,2.092772265399471,2.03,1.86,291.66782951761536
130.83,1.8221854470241716,2.0684208527919608,2.02,1.88,291.49311481672186
130.93,1.8593776126342951,2.0359247800959666,2.0,1.9,291.318085315096
131.03,1.9313493299988507,1.9695915241690263,1.96,1.94,291.1427822621147
